Detention,,,,,,,,,,Demurrage,,,,,,,,,
Port Name,Port Code,Line,Export- Import,container type,Standard Free Days,Day Slabs,Charge,Currency,-,Port Name,Port Code,Line,Export- Import,Container type,Standard Free Days,Day Slabs,Charge,Currency,Agent
-,-,safmarine,-,-,-,15-21,340,USD,-,-,-,safmarine,-,-,-,15-21,340,USD,Saqlaine
-,-,safmarine,-,-,-,22 onwards,680,USD,-,-,-,safmarine,-,-,-,22 onwards,680,USD,Saqlaine
-,-,safmarine,-,20 St. Reefer,5,0-5,0,USD,-,-,-,safmarine,-,20 St. Reefer,5,0-5,0,USD,Saqlaine
-,-,safmarine,-,-,-,6/10,250,USD,-,-,-,safmarine,-,-,-,6/10,250,USD,Saqlaine
-,-,safmarine,-,-,-,11/15,500,USD,-,-,-,safmarine,-,-,-,11/15,500,USD,Saqlaine
-,-,safmarine,-,-,-,16 onwards,1000,USD,-,-,-,safmarine,-,-,-,16 onwards,1000,USD,Saqlaine
-,-,safmarine,-,40 St. Reefer,5,0-5,0,USD,-,-,-,safmarine,-,40 St. Reefer,5,0-5,0,USD,Saqlaine
-,-,safmarine,-,-,-,6/10,500,USD,-,-,-,safmarine,-,-,-,6/10,500,USD,Saqlaine
-,-,safmarine,-,-,-,11/15,1000,USD,-,-,-,safmarine,-,-,-,11/15,1000,USD,Saqlaine
-,-,safmarine,-,-,-,16 onwards,2000,USD,-,-,-,safmarine,-,-,-,16 onwards,2000,USD,Saqlaine
ACTL Faridabad,ICD|CFS|SEZ,safmarine,import,Dry 20 St,4,1-4,0,INR,-,ACTL Faridabad,ICD|CFS|SEZ,safmarine,import,Dry 20 St,4,1/4,0,INR,Saqlaine
-,-,safmarine,-,-,-,5/11,3500,INR,-,-,-,safmarine,-,-,-,5/11,3500,INR,Saqlaine
-,-,safmarine,-,-,-,12/18,5000,INR,-,-,-,safmarine,-,-,-,12/18,5000,INR,Saqlaine
-,-,safmarine,-,-,-,19 Onwards,7000,INR,-,-,-,safmarine,-,-,-,19 Onwards,7000,INR,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,-,1-4,0,INR,-,-,-,safmarine,-,Dry40 & 40HC,-,1/4,0,INR,Saqlaine
-,-,safmarine,-,-,-,5/11,7000,INR,-,-,-,safmarine,-,-,-,5/11,7000,INR,Saqlaine
-,-,safmarine,-,-,-,12/18,10000,INR,-,-,-,safmarine,-,-,-,12/18,10000,INR,Saqlaine
-,-,safmarine,-,-,-,19 Onwards,14000,INR,-,-,-,safmarine,-,-,-,19 Onwards,14000,INR,Saqlaine
-,-,safmarine,-,20 St. Reefer,-,1-4,0,INR,-,-,-,safmarine,-,20 St. Reefer,-,1/4,0,INR,Saqlaine
-,-,safmarine,-,-,-,5/11,5000,INR,-,-,-,safmarine,-,-,-,5/11,5000,INR,Saqlaine
-,-,safmarine,-,-,-,12/18,6000,INR,-,-,-,safmarine,-,-,-,12/18,6000,INR,Saqlaine
-,-,safmarine,-,-,-,19 Onwards,8000,INR,-,-,-,safmarine,-,-,-,19 Onwards,8000,INR,Saqlaine
-,-,safmarine,-,40 St. Reefer,-,1-4,0,INR,-,-,-,safmarine,-,40 St. Reefer,-,1/4,0,INR,Saqlaine
-,-,safmarine,-,-,-,5/11,10000,INR,-,-,-,safmarine,-,-,-,5/11,10000,INR,Saqlaine
-,-,safmarine,-,-,-,12/18,12000,INR,-,-,-,safmarine,-,-,-,12/18,12000,INR,Saqlaine
-,-,safmarine,-,-,-,19 Onwards,16000,USD,-,-,-,safmarine,-,-,-,19 Onwards,16000,USD,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
ACTL Faridabad,ICD|CFS|SEZ,safmarine,Export,Dry 20 St,10,1/10,0,INR,-,ACTL Faridabad,ICD|CFS|SEZ,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,11/17,2000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,18-24,4000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,25 onwards,5000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,10,1/10,0,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,11/17,4000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,18-24,8000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,25 onwards,10000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,20 St. Reefer,10,1/10,0,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,11/17,3500,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,18-24,5000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,25 onwards,7000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,40 St. Reefer,10,1/10,0,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,11/17,7000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,18-24,10000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,25 onwards,14000,INR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
Aden,YEADE,safmarine,import,20' Dry,0,1/5,5,USD,-,Aden,YEADE,safmarine,import,20' Dry,0,1/5,5,USD,Saqlaine
-,-,safmarine,-,-,-,>5,10,USD,-,-,-,safmarine,-,-,-,>5,10,USD,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,0,1/5,10,USD,-,-,-,safmarine,-,Dry40 & 40HC,0,1/5,10,USD,Saqlaine
-,-,safmarine,-,-,-,>5,20,USD,-,-,-,safmarine,-,-,-,>5,20,USD,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,20' Reefer,0,1/3,20,USD,-,-,-,safmarine,-,20' Reefer,0,1/3,20,USD,Saqlaine
-,-,safmarine,-,-,-,>3,40,USD,-,-,-,safmarine,-,-,-,>3,40,USD,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,40' Reefer,0,1/3,20,USD,-,-,-,safmarine,-,40' Reefer,0,1/3,20,USD,Saqlaine
-,-,safmarine,-,-,-,>3,40,USD,-,-,-,safmarine,-,-,-,>3,40,USD,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
Aden,YEADE,safmarine,Export,20' Dry,0,1/5,5,USD,-,Aden,YEADE,safmarine,Export,20' Dry,0,1/5,5,USD,Saqlaine
-,-,safmarine,-,-,-,>5,10,USD,-,-,-,safmarine,-,-,-,>5,10,USD,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,0,1/5,10,USD,-,-,-,safmarine,-,Dry40 & 40HC,0,1/5,10,USD,Saqlaine
-,-,safmarine,-,-,-,>5,20,USD,-,-,-,safmarine,-,-,-,>5,20,USD,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,20' Reefer,0,1/3,20,USD,-,-,-,safmarine,-,20' Reefer,0,1/3,20,USD,Saqlaine
-,-,safmarine,-,-,-,>3,40,USD,-,-,-,safmarine,-,-,-,>3,40,USD,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,40' Reefer,0,1/3,20,USD,-,-,-,safmarine,-,40' Reefer,0,1/3,20,USD,Saqlaine
-,-,safmarine,-,-,-,>3,40,USD,-,-,-,safmarine,-,-,-,>3,40,USD,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
Al Jubail,SAJUB,safmarine,export,20' Standard,15,1/15,0,SAR,-,Al Jubail,SAJUB,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,16-30,60,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,31-60,100,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,61-180,200,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,15,1/15,0,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,16-30,120,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,31-60,200,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,61-180,300,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,20' Reefer,15,1/15,0,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,16-30,100,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,31-60,200,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,61-180,300,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,40' Reefer,15,1/15,0,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,16-30,200,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,31-60,350,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,61-180,450,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
Al Jubail,SAJUB,safmarine,import,20' Standard,10,1/10,0,SAR,-,Al Jubail,SAJUB,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,11/15,30,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,16-30,60,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,31-60,100,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,61-180,200,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,10,1/10,0,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,11/15,60,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,16-30,120,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,31-60,200,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,61-180,300,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,20' Reefer,10,1/10,0,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,11/15,100,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,16-30,200,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,31-60,300,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,61-180,400,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,40' Reefer,10,1/10,0,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,11/15,200,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,16-30,350,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,31-60,450,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,61-180,550,SAR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
Algeciras,ESALG,safmarine,export,20' Dry,10,0-10,0,EUR,-,Algeciras,ESALG,safmarine,export,20' Dry,10,0-10,0,EUR,Saqlaine
-,-,safmarine,-,-,-,11/15,5,EUR,-,-,-,safmarine,-,-,-,11/15,5,EUR,Saqlaine
-,-,safmarine,-,-,-,as from day 16,10,EUR,-,-,-,safmarine,-,-,-,16-20,10,EUR,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,10,0-10,0,EUR,-,-,-,safmarine,-,-,-,21 onwards,20,EUR,Saqlaine
-,-,safmarine,-,-,-,11/15,10,EUR,-,-,-,safmarine,-,Dry40 & 40HC,10,0-10,0,EUR,Saqlaine
-,-,safmarine,-,-,-,as from day 16,20,EUR,-,-,-,safmarine,-,-,-,11/15,10,EUR,Saqlaine
-,-,safmarine,-,20' Reefer,5,0-5,0,EUR,-,-,-,safmarine,-,-,-,16-20,20,EUR,Saqlaine
-,-,safmarine,-,-,-,6/8,60,EUR,-,-,-,safmarine,-,-,-,21 onwards,30,EUR,Saqlaine
-,-,safmarine,-,-,-,9 onwards,70,EUR,-,-,-,safmarine,-,20' Reefer,5,0-5,0,EUR,Saqlaine
-,-,safmarine,-,40' Reefer,5,0-5,0,EUR,-,-,-,safmarine,-,-,-,6/8,70,EUR,Saqlaine
-,-,safmarine,-,-,-,6/8,60,EUR,-,-,-,safmarine,-,-,-,9 onwards,125,EUR,Saqlaine
-,-,safmarine,-,-,-,9 onwards,70,EUR,-,-,-,safmarine,-,40' Reefer,5,0-5,0,EUR,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,6/8,70,EUR,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,9 onwards,125,EUR,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
Algeciras,ESALG,safmarine,import,20' Dry,7,0-7,0,EUR,-,Algeciras,ESALG,safmarine,import,20' Dry,7,0-7,0,EUR,Saqlaine
-,-,safmarine,-,-,-,8/14,18,EUR,-,-,-,safmarine,-,-,-,8/14,18,EUR,Saqlaine
-,-,safmarine,-,-,-,15-21,34,EUR,-,-,-,safmarine,-,-,-,15-21,34,EUR,Saqlaine
-,-,safmarine,-,-,-,From day 22,54,EUR,-,-,-,safmarine,-,-,-,From day 22,54,EUR,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,7,0-7,0,EUR,-,-,-,safmarine,-,Dry40 & 40HC,7,0-7,0,EUR,Saqlaine
-,-,safmarine,-,-,-,8/14,36,EUR,-,-,-,safmarine,-,-,-,8/14,36,EUR,Saqlaine
-,-,safmarine,-,-,-,15-21,62,EUR,-,-,-,safmarine,-,-,-,15-21,62,EUR,Saqlaine
-,-,safmarine,-,-,-,From day 22,82,EUR,-,-,-,safmarine,-,-,-,From day 22,82,EUR,Saqlaine
-,-,safmarine,-,20' Reefer,4,0-4,0,EUR,-,-,-,safmarine,-,20' Reefer,4,0-4,0,EUR,Saqlaine
-,-,safmarine,-,-,-,5/8,90,EUR,-,-,-,safmarine,-,-,-,5/8,90,EUR,Saqlaine
-,-,safmarine,-,-,-,8+,100,EUR,-,-,-,safmarine,-,-,-,8+,100,EUR,Saqlaine
-,-,safmarine,-,40' Reefer,4,0-4,0,EUR,-,-,-,safmarine,-,40' Reefer,4,0-4,0,EUR,Saqlaine
-,-,safmarine,-,-,-,5/8,100,EUR,-,-,-,safmarine,-,-,-,5/8,100,EUR,Saqlaine
-,-,safmarine,-,-,-,8+,150,EUR,-,-,-,safmarine,-,-,-,8+,150,EUR,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
Ancona,ITAOI,safmarine,export,20' Dry,12,0-12,0,EUR,-,Ancona,ITAOI,safmarine,export,20' Dry,12,0-12,0,EUR,Saqlaine
-,-,safmarine,-,-,-,13-15,30,EUR,-,-,-,safmarine,-,-,-,13-15,30,EUR,Saqlaine
-,-,safmarine,-,-,-,16 onwards,60,EUR,-,-,-,safmarine,-,-,-,16 onwards,60,EUR,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,12,0-12,0,EUR,-,-,-,safmarine,-,Dry40 & 40HC,12,0-12,0,EUR,Saqlaine
-,-,safmarine,-,-,-,13-15,30,EUR,-,-,-,safmarine,-,-,-,13-15,30,EUR,Saqlaine
-,-,safmarine,-,-,-,16 onwards,60,EUR,-,-,-,safmarine,-,-,-,16 onwards,60,EUR,Saqlaine
-,-,safmarine,-,20' Reefer,3,0-3,0,EUR,-,-,-,safmarine,-,20' Reefer,3,0-3,0,EUR,Saqlaine
-,-,safmarine,-,-,-,4 onward,100,EUR,-,-,-,safmarine,-,-,-,4 onward,100,EUR,Saqlaine
-,-,safmarine,-,-,3,0-3,0,EUR,-,-,-,safmarine,-,-,3,0-3,0,EUR,Saqlaine
-,-,safmarine,-,40' Reefer,-,4 onward,150,EUR,-,-,-,safmarine,-,40' Reefer,-,4 onward,150,EUR,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
Ancona,ITAOI,safmarine,Import,20' Dry,7,0-7,0,EUR,-,Ancona,ITAOI,safmarine,Import,20' Dry,7,0-7,0,EUR,Saqlaine
-,-,safmarine,-,-,-,8/14,25,EUR,-,-,-,safmarine,-,-,-,8/14,25,EUR,Saqlaine
-,-,safmarine,-,-,-,15 onwards,45,EUR,-,-,-,safmarine,-,-,-,15 onwards,45,EUR,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,7,0-7,0,EUR,-,-,-,safmarine,-,Dry40 & 40HC,7,0-7,0,EUR,Saqlaine
-,-,safmarine,-,-,-,8/14,40,EUR,-,-,-,safmarine,-,-,-,8/14,40,EUR,Saqlaine
-,-,safmarine,-,-,-,15 onwards,70,EUR,-,-,-,safmarine,-,-,-,15 onwards,70,EUR,Saqlaine
-,-,safmarine,-,20' Reefer,3,0-3,0,EUR,-,-,-,safmarine,-,20' Reefer,3,0-3,0,EUR,Saqlaine
-,-,safmarine,-,-,-,4 onward,100,EUR,-,-,-,safmarine,-,-,-,4 onward,100,EUR,Saqlaine
-,-,safmarine,-,40' Reefer,3,0-3,0,EUR,-,-,-,safmarine,-,40' Reefer,3,0-3,0,EUR,Saqlaine
-,-,safmarine,-,-,-,4 onward,150,EUR,-,-,-,safmarine,-,-,-,4 onward,150,EUR,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
Antwerp,BEANR,safmarine,export,20' Dry,5,1/5,0,EUR,-,Antwerp,BEANR,safmarine,export,20' Dry,7,1/7,0,EUR,Saqlaine
-,-,safmarine,-,-,-,6/10,45,EUR,-,-,-,safmarine,-,-,-,8/12,40,EUR,Saqlaine
-,-,safmarine,-,-,-,11/17,70,EUR,-,-,-,safmarine,-,-,-,13-19,50,EUR,Saqlaine
-,-,safmarine,-,-,-,18 onward,90,EUR,-,-,-,safmarine,-,-,-,20 onwards,70,EUR,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,5,1/5,0,EUR,-,-,-,safmarine,-,Dry40 & 40HC,7,1/7,0,EUR,Saqlaine
-,-,safmarine,-,-,-,6/10,60,EUR,-,-,-,safmarine,-,-,-,8/12,60,EUR,Saqlaine
-,-,safmarine,-,-,-,11/17,90,EUR,-,-,-,safmarine,-,-,-,13-19,80,EUR,Saqlaine
-,-,safmarine,-,-,-,18 onward,120,EUR,-,-,-,safmarine,-,-,-,20 onwards,90,EUR,Saqlaine
-,-,safmarine,-,20' Reefer,5,1/5,0,EUR,-,-,-,safmarine,-,20' Reefer,5,1/5,0,EUR,Saqlaine
-,-,safmarine,-,-,-,6/10,100,EUR,-,-,-,safmarine,-,-,-,6/12,140,EUR,Saqlaine
-,-,safmarine,-,-,-,11/17,120,EUR,-,-,-,safmarine,-,-,-,13-19,170,EUR,Saqlaine
-,-,safmarine,-,40' Reefer,-,18 onward,140,EUR,-,-,-,safmarine,-,-,-,20 onwards,180,EUR,Saqlaine
-,-,safmarine,-,-,5,1/5,0,EUR,-,-,-,safmarine,-,40' Reefer,5,1/5,0,EUR,Saqlaine
-,-,safmarine,-,-,-,6/10,120,EUR,-,-,-,safmarine,-,-,-,6/12,150,EUR,Saqlaine
-,-,safmarine,-,-,-,11/17,140,EUR,-,-,-,safmarine,-,-,-,13-19,190,EUR,Saqlaine
-,-,safmarine,-,-,-,18 onward,160,EUR,-,-,-,safmarine,-,-,-,20 onwards,200,EUR,Saqlaine
-,-,safmarine,-,-,-,-,-,-,-,-,-,safmarine,import,20' Dry,5,1/5,0,EUR,Saqlaine
Antwerp,BEANR,safmarine,import,20' Dry,4,1-4,0,EUR,-,Antwerp,BEANR,safmarine,-,-,-,6/10,45,EUR,Saqlaine
-,-,safmarine,(pick up per truck),-,-,5/10,45,EUR,-,-,-,safmarine,-,-,-,11/17,65,EUR,Saqlaine
-,-,safmarine,-,-,-,11/17,70,EUR,-,-,-,safmarine,-,-,-,18 onwards,90,EUR,Saqlaine
-,-,safmarine,-,-,-,18 onwards,90,EUR,-,-,-,safmarine,-,Dry40 & 40HC,5,1/5,0,EUR,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,4,1-4,0,EUR,-,-,-,safmarine,-,-,-,6/10,65,EUR,Saqlaine
-,-,safmarine,-,-,-,5/10,60,EUR,-,-,-,safmarine,-,-,-,11/17,95,EUR,Saqlaine
-,-,safmarine,-,-,-,11/17,90,EUR,-,-,-,safmarine,-,-,-,18 onwards,130,EUR,Saqlaine
-,-,safmarine,-,-,-,18 onwards,120,EUR,-,-,-,safmarine,-,20' Reefer,4,1/4,0,EUR,Saqlaine
-,-,safmarine,-,20' Reefer,4,1-4,0,EUR,-,-,-,safmarine,-,-,-,5/17,145,EUR,Saqlaine
-,-,safmarine,-,-,-,5/10,100,EUR,-,-,-,safmarine,-,-,-,18 onwards,185,EUR,Saqlaine
-,-,safmarine,-,-,-,11/17,120,EUR,-,-,-,safmarine,-,40' Reefer,4,1/4,0,EUR,Saqlaine
-,-,safmarine,-,-,-,18 onwards,140,EUR,-,-,-,safmarine,-,-,-,5/17,165,EUR,Saqlaine
-,-,safmarine,-,40' Reefer,4,1-4,0,EUR,-,-,-,safmarine,-,-,-,18 onwards,205,EUR,Saqlaine
-,-,safmarine,-,-,-,5/10,120,EUR,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,-,-,11/17,140,EUR,-,-,-,safmarine,export,20' Dry,0,Detention-Demurrage per day (1st 20 days free from gate out to loading on vessel),4000,NGN,Saqlaine
-,-,safmarine,-,-,-,18 onwards,160,EUR,-,-,-,safmarine,-,Dry40 & 40HC,0,Detention-Demurrage per day (1st 20 days free from gate out to loading on vessel),6000,NGN,Saqlaine
Apapa (Lagos),NGAPP,safmarine,export,20' Dry,0,Detention-Demurrage per day (1st 20 days free from gate out to loading on vessel),4000,NGN,-,Apapa (Lagos),NGAPP,safmarine,-,40' Reefer,0,Detention-Demurrage per day (1st 20 days free from gate out to loading on vessel),6000,NGN,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,0,Detention-Demurrage per day (1st 20 days free from gate out to loading on vessel),6000,NGN,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,20' Reefer,0,Detention-Demurrage per day (1st 20 days free from gate out to loading on vessel),4000,NGN,-,-,-,safmarine,-,-,-,-,-,-,Saqlaine
-,-,safmarine,-,40' Reefer,0,Detention-Demurrage per day (1st 20 days free from gate out to loading on vessel),6000,NGN,-,-,-,safmarine,import,20' Dry,5,1/5,0,NGN,Saqlaine
-,-,safmarine,-,-,-,-,-,NGN,-,-,-,safmarine,-,-,-,6/10,7000,NGN,Saqlaine
Apapa (Lagos),NGAPP,safmarine,import,20' Dry,5,1/5,0,NGN,-,Apapa (Lagos),NGAPP,safmarine,-,-,-,11/16,9300,NGN,Saqlaine
